case,growth_percent,enforce_relations,method,flow_distance,ae_satisfied,x_violations,area_utilization,compactness,avg_aspect_ratio,runtime_s,status
sample_case,0.0,True,SLP,10140.0,4.0,0.0,0.9055555555555556,0.9055555555555556,3.8103741496598644,0.001492300000000002,OK
sample_case,0.0,True,OPT,7470.0,2.0,0.0,0.6129629629629629,0.6895833333333333,3.625,10.118822500000002,INFEASIBLE_FALLBACK_PULP
sample_case,0.0,False,SLP,10140.0,4.0,0.0,0.9055555555555556,0.9055555555555556,3.8103741496598644,0.0012094999999998635,OK
sample_case,0.0,False,OPT,7470.0,2.0,0.0,0.6129629629629629,0.6895833333333333,3.625,10.0978433,INFEASIBLE_FALLBACK_PULP
sample_case,0.1,True,SLP,12550.0,2.0,0.0,0.8277777777777777,0.8277777777777777,2.0425170068027207,0.001405399999999446,OK
sample_case,0.1,True,OPT,6320.0,3.0,0.0,0.6592592592592592,0.6592592592592592,3.9375,5.315435900000001,INFEASIBLE_FALLBACK_PULP
sample_case,0.1,False,SLP,12550.0,2.0,0.0,0.8277777777777777,0.8277777777777777,2.0425170068027207,0.0012980999999996357,OK
sample_case,0.1,False,OPT,6320.0,3.0,0.0,0.6592592592592592,0.6592592592592592,3.9375,5.332859499999998,INFEASIBLE_FALLBACK_PULP
sample_case,0.2,True,SLP,11150.0,2.0,0.0,0.8277777777777777,0.8764705882352941,2.285034013605442,0.0011856000000030065,OK
sample_case,0.2,True,OPT,6660.0,3.0,0.0,0.6907407407407408,0.7400793650793651,2.185416666666667,6.116912900000003,INFEASIBLE_FALLBACK_PULP
sample_case,0.2,False,SLP,11150.0,2.0,0.0,0.8277777777777777,0.8764705882352941,2.285034013605442,0.00119609999999426,OK
sample_case,0.2,False,OPT,6660.0,3.0,0.0,0.6907407407407408,0.7400793650793651,2.185416666666667,6.063411899999998,INFEASIBLE_FALLBACK_PULP
